D_LOAD_CELL_A,FujiM9.DL0011828
D_LOAD_CELL_B,FujiM9.DL0011830
D_LOAD_CELL_C,FujiM9.DL0011832
D_LOAD_CELL_D,FujiM9.DL0011834
D_TOTAL_LOAD,FujiM9.DL0000732
D_TROLLEY_POSITION,FujiM9.DL0001500
D_TROLLEY_SPEED,FujiM9.WX001_006_0006
D_HOIST_POSITION,FujiM9.DL0001400
D_HOIST_SPEED,FujiM9.WX001_001_0006
D_BOOM_POSITION,FujiM9.DL0001600
D_BOOM_SPEED,FujiM9.DL0001010
A_SPREADER_20FT,FujiM9.X070_005_000B
A_SPREADER_40FT,FujiM9.X070_005_000C
A_SPREADER_45FT,FujiM9.X070_005_000D
A_SPREADER_LANDED,FujiM9.X073_0006
A_SPREADER_LOCKED,FujiM9.X073_0004
A_SPREADER_UNLOCKED,FujiM9.X073_0005
